 ,Slno,bse_stock_price,nsei_stock_price
0,1,"31,652.85","9,267.60"
0,2,"31,650.54","9,268.10"
0,3,"31,646.94","9,268.20"
0,4,"31,651.42","9,269.45"
0,5,"31,658.18","9,270.10"
0,6,"31,658.18","9,270.05"
0,7,"31,663.56","9,270.60"
0,8,"31,662.85","9,270.30"
0,9,"31,663.50","9,269.50"
0,10,"31,658.32","9,264.60"
0,11,"31,643.10","9,265.50"
0,12,"31,641.38","9,266.70"
0,13,"31,641.76","9,265.10"
0,14,"31,640.78","9,266.35"
0,15,"31,647.33","9,267.15"
0,16,"31,647.09","9,266.40"
0,17,"31,648.85","9,266.70"
0,18,"31,648.65","9,264.80"
0,19,"31,641.44","9,264.30"
0,20,"31,615.82","9,256.20"
0,21,"31,610.64","9,256.15"
0,22,"31,614.18","9,257.80"
0,23,"31,615.22","9,259.00"
0,24,"31,617.74","9,256.85"
0,25,"31,610.44","9,256.90"
